Model,HumanEval,SWE-bench Verified,GPQA Diamond,MMLU,OSWorld,Cost Input (MTok),Cost Output (MTok),Context Window (K),Max Output (K),TTFT (s),TPS,Knowledge Cutoff,Extended Thinking,Source Date
Claude Haiku 4.5,88.1%,60.6%,~60%,~86%,~50%,$1.00,$5.00,200,64,0.64,92.6,Feb 2025,Yes,Jan 2026
Claude Sonnet 4.5,~92%,64.8%,81.7%,89.1%,~55-60%,$3.00,$15.00,200/1M (beta),64,2.0,~80,Jan 2025,Yes,Jan 2026
Claude Opus 4.5,~93%,80.9%,~85%,~90%,66.3%,$5.00,$25.00,200,64,~2.5,~60,May 2025,Yes,Jan 2026
Claude 3.5 Sonnet,93.7%,49%,65.0%,~88%,~42%,$2.00,$10.00,200,64,~2.0,~80,Q2 2024,No,Jun 2024
GPT-4o,90.2%,~50%,~70%,88.7%,~40%,$5.00,$15.00,128,16,0.41,134.9,Apr 2024,No,May 2024
GPT-4o mini,87.2%,~40%,~65%,~85%,~35%,$0.15,$0.60,128,16,0.63,112.2,Apr 2024,No,May 2024
GPT-5.2 (est.),~91%,~75%,85.4%,~90%,~50%,~$4.00,~$12.00,128,~16,~1.0,~100,Oct 2025,Yes,Jan 2026
OpenAI o1-preview,~90%,49%,~75%,~85%,~40%,~$10.00,~$30.00,128,~32,22.0,151.3,Oct 2024,Yes (built-in),Dec 2024
Gemini 2.5 Pro,73-85%,~65%,~85%,~92%,~50%,$1.25,$5.00,1000,65,~1.0,~110,Apr 2024,Yes,Jan 2026
Gemini 3 Pro,73-85%,77.4% (+ agent),92.6%,~92%,~55%,$1.25,$5.00,1000,65,~1.0,~110,Nov 2025,Yes,Jan 2026
